
4,1.0
/admin 1234,22.0
➕ Добавить (аренда),11.0
ADMIN_MENU_ROOMS,10.0
ROOMS_TWO,7.0
ADMIN_MENU_SQUARE,3.0
1234,1.0
ADMIN_MENU_FLOOR,2.0
2,1.0
ADMIN_MENU_ALL_FLOORS,1.0
6,1.0
ADMIN_MENU_METRO,3.0
eafer,2.0
ADMIN_MENU_ADDRESS,3.0
htrwsagret,1.0
ADMIN_MENU_DISTRICT,2.0
DISTRICT_ХТЗ / Рогань,6.0
ADMIN_MENU_PRICE,2.0
23453,1.0
ADMIN_MENU_MONEY_RANGE,2.0
MONEY_RANGE_4500 - 6000 грн,5.0
ADMIN_MENU_TELEGRAPH,2.0
CANCEL_SUBMENU,2.0
ADMIN_MENU_CONTACT,2.0
CONTACT_MY,7.0
ADMIN_MENU_MAP,2.0
https://www.google.com/maps/search/?api=1&query=%D1%83%D0%BB.+%D0%95%D0%BB%D0%B5%D0%BD%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F%2C+14%2C+%D0%A5%D0%B0%D1%80%D1%8C%D0%BA%D0%BE%D0%B2,2.0
ADMIN_MENU_ADDITIONAL_INFO,1.0
Быстро!ваолдыо,1.0
ADMIN_MENU_TELEGRAPH,1.0
https://telegra.ph/71019-Sdayotsya-2-komnatnaya-kvartira-Pavlovo-Pole-01-06,1.0
ADMIN_MENU_PUBLISH,42.0
PUBLISH_CONFIRM_YES,39.0
➕ Добавить (аренда),12.0
ADMIN_MENU_ROOMS,16.0
ROOMS_ONE,8.0
ADMIN_MENU_SQUARE,2.0
234,1.0
ADMIN_MENU_FLOOR,6.0
3,3.0
ADMIN_MENU_ALL_FLOORS,2.0
6,1.0
ADMIN_MENU_METRO,2.0
arg,1.0
ADMIN_MENU_ADDRESS,2.0
resfar,2.0
ADMIN_MENU_DISTRICT,4.0
DISTRICT_р-н Клочковской,8.0
ADMIN_MENU_PRICE,2.0
23423,1.0
ADMIN_MENU_MONEY_RANGE,3.0
MONEY_RANGE_6000 - 8000 грн,6.0
ADMIN_MENU_TELEGRAPH,1.0
https://telegra.ph/84059-Sdayotsya-3-komnatnaya-kvartira-Centr-03-16,2.0
ADMIN_MENU_ADDITIONAL_INFO,2.0
Новострой,2.0
ADMIN_MENU_MAP,2.0
https://www.google.com/maps/search/?api=1&query=%D1%83%D0%BB.+%D0%95%D0%BB%D0%B5%D0%BD%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F%2C+14%2C+%D0%A5%D0%B0%D1%80%D1%8C%D0%BA%D0%BE%D0%B2,1.0
ADMIN_MENU_CONTACT,2.0
CONTACT_MY,7.0
ADMIN_MENU_PUBLISH,21.0
PUBLISH_CONFIRM_YES,25.0
✏ Написать сообщение,12.0
Hi,8.0
CONFIRM_SENDING_YES,13.0
/exit,3.0
df,9.0
wfd,0.0
wfe,1.0
/start,5.0
dfl,4.0
/admin 1234,24.0
➕ Добавить (продажа),10.0
ADMIN_MENU_ROOMS,10.0
ROOMS_FOUR,5.0
ADMIN_MENU_SQUARE,2.0
5424,1.0
ADMIN_MENU_FLOOR,4.0
4,1.0
ADMIN_MENU_ALL_FLOORS,2.0
7,0.0
ADMIN_MENU_METRO,2.0
ertgert,1.0
ADMIN_MENU_ADDRESS,2.0
jytdy,2.0
ADMIN_MENU_DISTRICT,3.0
DISTRICT_Ц. Рынок / ЮЖД,5.0
ADMIN_MENU_PRICE,2.0
4534,1.0
ADMIN_MENU_TELEGRAPH,2.0
https://telegra.ph/38315-Sdayotsya-1-komnatnaya-kvartira-Centr-03-24,1.0
ADMIN_MENU_MONEY_RANGE,3.0
MONEY_RANGE_200000+ $,5.0
ADMIN_MENU_MAP,2.0
https://www.google.com/maps/search/?api=1&query=%D1%83%D0%BB.+%D0%95%D0%BB%D0%B5%D0%BD%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F%2C+14%2C+%D0%A5%D0%B0%D1%80%D1%8C%D0%BA%D0%BE%D0%B2,1.0
ADMIN_MENU_ADDITIONAL_INFO,1.0
Хай,1.0
ADMIN_MENU_CONTACT,2.0
CANCEL_SUBMENU,1.0
ADMIN_MENU_PUBLISH,72.0
PUBLISH_CONFIRM_YES,54.0
➕ Добавить (продажа),1.0
ADMIN_MENU_ROOMS,6.0
ROOMS_THREE,5.0
ADMIN_MENU_SQUARE,1.0
3421,1.0
ADMIN_MENU_FLOOR,1.0
3,1.0
ADMIN_MENU_ALL_FLOORS,1.0
6,1.0
ADMIN_MENU_METRO,1.0
refger,1.0
ADMIN_MENU_ADDRESS,0.0
regwerg,1.0
ADMIN_MENU_DISTRICT,1.0
